PopulationGroupTypeID,TripPurposeID,Mode,Intercept,BetaWaitAccessTime,BetaTravelTime,BetaMonetaryCost,BikeShare_Bike,Intercept_Pooled,BetaWaitAccessTime_Pooled,BetaTravelTime_Pooled,BetaMonetaryCost_Pooled,BikeShare_Bike_Pooled,Intercept_Pooled_EW,BetaWaitAccessTime_Pooled_EW,BetaTravelTime_Pooled_EW,BetaMonetaryCost_Pooled_EW,BikeShare_Bike_Pooled_EW,BetaTravelTimeMixed,BetaWaitTime,BetaAccessTime,BetaWaitTime_Pooled,BetaAccessTime_Pooled,BetaWaitTime_Pooled_EW,BetaAccessTime_Pooled_EW
HighIncNoVehSenior,medical,bus,-3.067,-0.127,-0.045,-0.015,0.0,-3.036,-0.115,-0.03,-0.016,0.0,-3.003,-0.117,-0.03,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVehSenior,medical,bus,-3.067,-0.127,-0.045,-0.015,0.0,-3.036,-0.115,-0.03,-0.016,0.0,-3.003,-0.117,-0.03,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVehSenior,medical,rail,-3.495,-0.091,-0.013,-0.026,0.0,-3.437,-0.115,-0.03,-0.016,0.0,-3.376,-0.117,-0.03,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVehSenior,medical,rail,-3.495,-0.091,-0.013,-0.026,0.0,-3.437,-0.115,-0.03,-0.016,0.0,-3.376,-0.117,-0.03,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVehSenior,medical,rail,-3.495,-0.127,-0.045,-0.015,0.0,-3.437,-0.115,-0.03,-0.016,0.0,-3.376,-0.117,-0.03,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVehSenior,medical,rail,-3.495,-0.127,-0.045,-0.015,0.0,-3.437,-0.115,-0.03,-0.016,0.0,-3.376,-0.117,-0.03,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVehSenior,medical,ridehail,-5.185,-0.091,-0.027,-0.026,0.0,-5.193,-0.115,-0.052,-0.016,0.0,-5.183,-0.117,-0.052,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVehSenior,medical,ridehail,-5.185,-0.091,-0.027,-0.026,0.0,-5.193,-0.115,-0.052,-0.016,0.0,-5.183,-0.117,-0.052,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVehSenior,medical,ridehail,-5.185,-0.127,-0.067,-0.015,0.0,-5.193,-0.115,-0.052,-0.016,0.0,-5.183,-0.117,-0.052,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVehSenior,medical,ridehail,-5.185,-0.127,-0.067,-0.015,0.0,-5.193,-0.115,-0.052,-0.016,0.0,-5.183,-0.117,-0.052,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVehSenior,medical,bike,-2.788,-0.091,-0.0395,-0.026,0.019,-2.775,-0.115,-0.08,-0.016,0.02,-2.776,-0.117,-0.081,-0.027,0.02,-0.0395,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVehSenior,medical,bike,-2.788,-0.091,-0.0395,-0.026,0.019,-2.775,-0.115,-0.08,-0.016,0.02,-2.776,-0.117,-0.081,-0.027,0.02,-0.0395,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVehSenior,medical,bike,-2.788,-0.127,-0.0415,-0.015,0.019,-2.775,-0.115,-0.08,-0.016,0.02,-2.776,-0.117,-0.081,-0.013,0.02,-0.0415,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVehSenior,medical,bike,-2.788,-0.127,-0.0415,-0.015,0.019,-2.775,-0.115,-0.08,-0.016,0.02,-2.776,-0.117,-0.081,-0.013,0.02,-0.0415,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVehSenior,medical,walk,0.815,-0.091,-0.079,-0.026,0.0,0.814,-0.115,-0.08,-0.016,0.0,0.818,-0.117,-0.081,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVehSenior,medical,walk,0.815,-0.091,-0.079,-0.026,0.0,0.814,-0.115,-0.08,-0.016,0.0,0.818,-0.117,-0.081,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVehSenior,medical,walk,0.815,-0.127,-0.083,-0.015,0.0,0.814,-0.115,-0.08,-0.016,0.0,0.818,-0.117,-0.081,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVehSenior,medical,walk,0.815,-0.127,-0.083,-0.015,0.0,0.814,-0.115,-0.08,-0.016,0.0,0.818,-0.117,-0.081,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
